809	906
542	948
229	956
186	283
620	372
45	679
637	356
681	626
737	519
727	357
499	898
532	650
421	898
181	593
277	398
485	893
102	525
620	924
49	102
760	989
511	362
129	393
449	622
676	737
120	706
719	150
299	715
124	598
824	86
861	221
266	1000
129	493
173	105
107	299
111	537
373	127
487	366
694	496
750	549
70	548
304	387
688	205
262	816
603	505
629	209
161	642
173	689
379	92
235	458
970	30
800	156
283	536
254	679
166	455
370	800
250	230
427	157
19	798
32	106
212	652
103	74
168	745
676	115
574	688
551	298
372	238
443	501
48	411
150	340
887	75
53	834
441	113
718	500
893	144
680	503
922	532
566	222
723	364
561	524
342	808
478	383
909	591
737	709
816	452
37	745
473	407
465	137
409	350
619	682
768	585
885	428
356	625
530	987
564	709
23	661
706	672
431	314
949	357
70	232
849	955
957	830
675	546
314	831
411	851
930	206
959	350
352	690
836	938
223	742
581	203
250	486
756	47
20	843
991	233
692	342
558	114
691	892
432	809
127	706
805	211
1000	426
110	384
245	226
635	391
556	758
397	351
853	892
573	487
756	312
363	203
754	872
851	763
551	301
748	663
844	718
934	643
361	852
567	261
875	637
120	336
703	232
498	511
517	451
612	398
883	704
33	403
607	584
325	429
800	11
288	353
835	52
279	807
779	879
951	776
386	316
228	596
664	239
518	114
498	886
412	338
188	86
939	784
408	15
153	719
345	823
941	707
237	554
273	845
334	905
81	571
449	363
306	72
781	381
19	654
135	147
257	695
533	241
765	574
729	378
286	325
751	174
458	542
455	189
806	380
64	741
298	712
688	584
274	950
242	256
457	44
920	139
103	232
727	464
376	237
382	859
406	415
907	848
725	724
612	178
192	638
108	794
572	949
530	62
532	574
631	893
633	170
993	253
719	107
75	921
584	632
203	563
776	623
711	56
174	1000
255	175
744	388
848	149
886	191
938	78
748	38
779	923
367	175
483	445
153	562
338	538
534	577
412	898
651	91
410	985
980	16
756	32
387	447
749	244
629	346
473	14
795	165
977	902
261	109
224	993
693	630
430	40
935	251
859	68
300	32
797	485
401	673
600	135
290	118
825	513
108	812
223	252
328	446
699	399
745	61
324	282
129	818
710	625
842	17
671	686
558	946
588	323
456	494
940	889
756	58
84	914
911	31
881	739
223	872
834	777
295	792
847	520
749	53
859	89
220	981
787	329
753	268
550	958
109	761
274	768
380	112
908	558
292	517
427	554
806	101
419	542
717	251
153	793
171	468
263	630
665	164
594	629
964	174
151	5
811	684
93	275
188	69
424	632
798	992
219	548
659	635
457	856
137	314
894	359
88	666
259	926
427	49
520	673
105	937
39	879
794	744
679	283
996	408
918	581
136	497
557	64
581	536
519	395
180	219
274	912
63	895
516	509
602	515
170	16
939	386
418	130
336	44
370	825
457	561
1	753
155	782
159	852
708	55
37	637
832	671
466	290
346	699
33	860
799	332
585	329
603	129
362	827
671	383
770	788
37	626
612	34
689	380
293	70
235	8
942	674
312	732
337	749
944	40
72	495
22	508
835	782
947	560
468	724
104	15
133	551
286	455
179	236
775	662
958	733
929	759
605	53
575	986
898	144
505	449
269	348
310	206
797	356
143	663
560	535
308	699
97	518
104	284
343	333
964	825
989	330
123	519
524	887
59	935
793	221
105	189
334	447
574	469
190	266
600	378
424	376
878	11
366	591
679	998
361	546
631	908
540	145
985	127
291	916
69	839
415	395
65	592
844	29
841	675
249	153
765	896
417	208
336	647
447	988
242	39
86	452
824	272
816	873
271	83
858	984
412	794
596	803
248	914
424	210
67	695
802	655
801	945
962	854
538	216
414	959
527	203
773	814
192	556
775	843
217	631
618	883
49	128
318	927
343	670
466	532
662	499
658	16
735	845
170	702
131	360
117	746
954	370
196	736
859	287
826	922
599	453
907	672
968	402
532	776
368	906
578	492
847	640
120	796
184	897
884	903
383	130
647	650
978	164
487	438
14	456
530	521
515	279
735	851
25	562
402	43
735	736
489	285
627	684
505	318
4	273
548	205
934	948
103	178
44	616
283	516
976	207
152	787
662	965
691	929
769	729
793	744
322	912
28	868
537	685
528	937
753	488
435	408
992	382
142	882
140	360
999	978
313	779
174	813
280	962
962	818
32	101
521	692
608	64
554	811
211	901
445	394
537	691
274	618
399	416
39	533
118	801
764	962
503	109
874	817
374	878
240	486
589	835
132	302
227	202
66	244
396	464
925	376
722	96
8	91
504	298
393	616
983	123
37	772
193	560
51	125
473	58
596	952
895	840
207	928
90	615
303	839
618	172
525	267
221	16
581	855
1	675
167	161
151	250
815	829
147	244
279	704
526	825
954	395
170	288
490	974
890	189
402	225
992	845
928	763
272	578
843	131
674	883
512	967
195	120
468	108
727	366
